,location,age,gender,decisions,meaningful,personal_identity,Feeling_good,knowledge,expensive, not_available,uncertainty,preference,intention,purchased
0,North America,22-39,Male,1,1,1,0,0,4,2,4,0,0,1
1,North America,22-39,Female,3,2,3,3,1,1,1,2,1,1,1
2,North America,52-70,Female,3,2,1,1,2,3,2,2,3,2,1
3,North America,22-39,Female,3,4,3,2,0,2,2,2,2,2,1
4,North America,22-39,Female,1,4,2,4,0,4,4,4,3,0,1
5,North America,Under 22,Female,3,4,3,4,2,3,1,2,2,1,2
6,North America,22-39,Female,3,4,3,1,1,3,1,2,2,2,2
7,North America,22-39,Female,1,1,1,0,1,4,3,4,0,0,1
8,North America,22-39,Female,2,4,2,2,0,0,0,0,3,1,2
9,North America,22-39,Female,1,2,2,2,1,2,1,2,2,1,2
10,Asia,22-39,Female,4,4,4,4,4,4,4,4,3,4,2
11,South America,22-39,Male,2,3,3,4,3,4,2,3,2,3,2
12,North America,22-39,Female,4,4,4,4,2,2,2,3,3,2,1
13,South America,22-39,Female,3,3,2,4,1,2,3,2,3,1,1
14,North America,Under 22,Female,3,3,3,1,3,4,0,4,0,0,2
15,Asia,Under 22,Female,2,3,2,2,1,2,1,2,1,2,1
16,North America,39-52,Female,1,2,0,0,0,2,1,2,1,0,1
17,North America,22-39,Female,4,3,4,3,3,4,4,4,4,3,2
18,North America,22-39,Female,3,3,3,2,2,3,0,4,4,4,2
19,North America,22-39,Female,3,4,3,3,1,3,4,3,3,0,1
20,North America,22-39,Female,1,1,1,0,0,4,3,2,2,0,2
21,Asia,22-39,Female,4,3,3,3,3,4,3,3,3,3,2
22,Asia,22-39,Female,4,3,3,4,2,2,2,2,3,3,2
23,North America,22-39,Female,3,3,3,3,1,3,1,3,3,2,1
24,North America,Under 22,Female,3,4,3,3,1,3,2,3,2,1,1
25,North America,Under 22,Female,3,2,3,2,1,3,1,3,2,2,1
26,Asia,22-39,Female,4,4,4,4,2,2,1,1,3,3,1
27,Asia,22-39,Female,4,3,2,3,2,3,2,1,2,2,2
28,North America,39-52,Female,3,3,3,3,2,3,1,2,3,2,1
29,North America,22-39,Female,3,3,3,2,0,2,2,2,3,3,1
30,North America,22-39,Female,3,3,3,3,2,2,1,2,2,2,2
31,North America,Under 22,Female,4,3,3,4,4,3,1,0,4,3,2
32,North America,22-39,Female,1,3,2,0,0,2,2,4,2,0,1
33,North America,39-52,Female,4,4,4,4,3,2,0,0,4,4,2
34,Asia,22-39,Female,2,3,3,3,3,3,3,3,2,3,2
35,South America,Under 22,Female,3,3,2,2,1,4,3,2,3,2,2
36,North America,Under 22,Female,1,1,1,1,0,2,2,3,2,2,1
37,Asia,Under 22,Female,3,3,2,3,3,3,3,1,3,3,2
38,Asia,22-39,Female,4,3,2,1,2,4,0,1,3,2,1
39,Asia,22-39,Female,4,4,4,4,3,3,1,2,4,4,2
